기능 ID,기능명,설명,연관 UC,HTTP 메서드,요청 URL,입력값,출력값,처리 흐름
FA-001,관리자 대시보드 조회,"미승인 주문·QnA·재고부족·통계·신규 회원 등 요약 현황 표시",UC-A-001,GET,/admin,-,대시보드 위젯 데이터(JSON),1. 관리자 JWT 인증 확인 → 2. 각 도메인 집계 쿼리 실행 → 3. DashboardResponse DTO 조합 → 4. JSON 반환
FA-002,회원 목록 조회,"전체 회원 목록을 페이징·키워드 검색으로 조회",UC-A-002,GET,/admin/member/list,"page, size, keyword (Query Param)","Page<MemberResponse>",1. 관리자 인증 확인 → 2. 검색 파라미터 파싱 → 3. 이름/이메일 LIKE 조회 → 4. 페이징 결과 반환
FA-003,회원 상세 조회,특정 회원의 상세 정보 조회,UC-A-003,GET,/admin/member/{id},memberId (Path Variable),MemberDetailResponse (가입일·상태·역할 포함),1. 관리자 인증 확인 → 2. memberId로 DB 조회 → 3. MemberDetailResponse 반환
FA-004,회원 강퇴,"회원 상태를 ACTIVATE / DEACTIVATE / DELETE로 변경",UC-A-004,PATCH,/admin/member/{id}/status,"memberId (Path), { memberStatus } (Body)",수정 완료 응답,1. ADMIN 권한 확인 → 2. 대상 회원 존재 확인 → 3. memberStatus ENUM 변경 → 4. 저장 → 5. 응답 반환
FA-005,관리자 권한 변경,"회원 역할을 USER / MANAGER / ADMIN으로 변경",UC-A-005,PATCH,/admin/member/{id}/role,"memberId (Path), { memberRole } (Body)",수정 완료 응답,1. ADMIN 권한 확인 → 2. 대상 회원 존재 확인 → 3. memberRole ENUM 변경 → 4. 저장 → 5. 응답 반환
FA-006,탈퇴 회원 관리,deleted_at 기준 탈퇴 회원 목록 조회,UC-A-006,GET,/admin/member/list,"page, size, status=DELETE (Query Param)","Page<MemberResponse>",1. 관리자 인증 확인 → 2. deleted_at IS NOT NULL 조건으로 조회 → 3. 페이징 결과 반환
FA-007,주문 목록 조회,"전체 주문 목록을 페이징·주문번호/회원 검색으로 조회",UC-A-007,GET,/admin/order,"page, size, keyword (Query Param)","Page<OrderResponse>",1. 관리자 인증 확인 → 2. 검색 파라미터 파싱 → 3. 주문번호/회원명 LIKE 조회 → 4. 페이징 결과 반환
FA-008,주문 상세 조회,"특정 주문의 상품·결제·배송 상세 정보 조회",UC-A-008,GET,/admin/order/{id},orderId (Path Variable),OrderDetailResponse (상품·결제·배송 포함),1. 관리자 인증 확인 → 2. orderId로 DB 조회 → 3. 주문 상품·결제·배송 JOIN → 4. OrderDetailResponse 반환
FA-009,주문 상태 변경,"주문 상태를 PENDING / PAYED / APPROVAL / CANCELED로 변경",UC-A-009,PATCH,/admin/order/{id}/status,"orderId (Path), { orderStatus } (Body)",수정 완료 응답,1. 관리자 인증 확인 → 2. 주문 존재 확인 → 3. orderStatus ENUM 변경 → 4. 결제 상태 연동 → 5. 저장
FA-010,주문 취소 처리,관리자 측 주문 강제 취소 처리,UC-A-010,PATCH,/admin/order/{id}/cancel,orderId (Path Variable),취소 완료 응답,1. 관리자 인증 확인 → 2. 주문이 PAYED 이하 상태 확인 → 3. orderStatus = CANCELED 처리 → 4. 결제 취소 연동 → 5. 저장
FA-011,배송 목록 조회,전체 배송 목록을 상태별 필터로 조회,UC-A-011,GET,/admin/delivery,"page, size, status (Query Param)","Page<DeliveryResponse>",1. 관리자 인증 확인 → 2. 상태 필터 파싱 → 3. DB 조회 → 4. 페이징 결과 반환
FA-012,운송장 등록,택배사명 및 운송장 번호 입력 등록,UC-A-012,POST,/admin/delivery/{id},"deliveryId (Path), { courier, trackingNumber } (Body)",등록 완료 응답,1. 관리자 인증 확인 → 2. 배송이 READY 상태 확인 → 3. 택배사명·운송장 번호 저장 → 4. delivery_status = SHIPPED 처리 → 5. 응답 반환
FA-013,배송 상태 변경,"배송 상태를 READY / SHIPPED / IN_TRANSIT / DELIVERED / FAILED 단계로 변경",UC-A-013,PATCH,/admin/delivery/{id}/status,"deliveryId (Path), { deliveryStatus } (Body)",수정 완료 응답,1. 관리자 인증 확인 → 2. 배송 존재 확인 → 3. deliveryStatus ENUM 변경 → 4. 저장 → 5. 응답 반환
FA-014,상품 목록 조회,상품 정보 및 썸네일 이미지 목록 조회,UC-A-014,GET,/admin/product/list,"page, size, keyword (Query Param)","Page<ProductResponse>",1. 관리자 인증 확인 → 2. 검색 파라미터 파싱 → 3. DB 조회 → 4. 썸네일 포함 페이징 결과 반환
FA-015,상품 등록,상품 정보 및 이미지 업로드 등록,UC-A-015,POST,/admin/product/insert,"{ title, author, publisher, price, stockQuantity, description, categorySubId } + 이미지 파일 (MultipartFile)",등록 완료 응답 (productId 포함),1. 관리자 인증 확인 → 2. 입력값 유효성 검사 → 3. 이미지 업로드 처리 → 4. product 테이블 저장 → 5. productId 반환
FA-016,상품 수정,"상품 정보(재고·가격 등) 수정",UC-A-016,PATCH,/admin/product/{id},"productId (Path), { price, stockQuantity, description, ... } (Body)",수정 완료 응답,1. 관리자 인증 확인 → 2. 상품 존재 확인 → 3. 입력값 유효성 검사 → 4. 변경 필드 업데이트 → 5. 저장
FA-017,상품 삭제,상품 soft delete 처리,UC-A-017,DELETE,/admin/product/{id},productId (Path Variable),삭제 완료 응답,1. ADMIN 권한 확인 → 2. 상품 존재 확인 → 3. product_status = DELETE 처리 → 4. deleted_at 기록 → 5. 저장
FA-018,카테고리 등록,상위/하위 카테고리 등록,UC-A-018,POST,/admin/category,"{ type(TOP/SUB), name, sortOrder, categoryTopId(SUB 전용) } (Body)",등록 완료 응답 (categoryId 포함),1. 관리자 인증 확인 → 2. type 분기(TOP/SUB) → 3. SUB인 경우 상위 카테고리 존재 확인 → 4. DB 저장 → 5. 응답 반환
FA-019,카테고리 수정,카테고리 이름 및 정렬 순서 수정,UC-A-019,PATCH,/admin/category/{id},"categoryId (Path), { name, sortOrder } (Body)",수정 완료 응답,1. 관리자 인증 확인 → 2. 카테고리 존재 확인 → 3. 이름·정렬 순서 업데이트 → 4. 저장
FA-020,카테고리 삭제,카테고리 상태 변경(DEACTIVATE/DELETE) 처리,UC-A-020,DELETE,/admin/category/{id},categoryId (Path Variable),삭제 완료 응답,1. ADMIN 권한 확인 → 2. 카테고리 존재 확인 → 3. category_status = DELETE 처리 → 4. deleted_at 기록 → 5. 저장
FA-021,공지사항 목록 조회,"공지사항 목록 조회(is_fixed=true 상단 고정 우선)",UC-A-021,GET,/admin/notice/list,"page, size (Query Param)","Page<NoticeResponse>",1. 관리자 인증 확인 → 2. is_fixed DESC 정렬 후 created_at DESC 조회 → 3. 페이징 결과 반환
FA-022,공지사항 등록,신규 공지사항 추가,UC-A-022,POST,/admin/notice/insert,"{ title, content, isFixed } (Body)",등록 완료 응답 (noticeId 포함),1. 관리자 인증 확인 → 2. 입력값 유효성 검사 → 3. notice 테이블 저장 → 4. noticeId 반환
FA-023,공지사항 수정,공지사항 제목·내용 수정,UC-A-023,PATCH,/admin/notice/{id},"noticeId (Path), { title, content, isFixed } (Body)",수정 완료 응답,1. 관리자 인증 확인 → 2. 공지사항 존재 확인 → 3. 입력 필드 업데이트 → 4. updated_at 갱신 → 5. 저장
FA-024,공지사항 삭제,공지사항 soft delete 처리,UC-A-024,DELETE,/admin/notice/{id},noticeId (Path Variable),삭제 완료 응답,1. 관리자 인증 확인 → 2. 공지사항 존재 확인 → 3. deleted_at 기록 → 4. 저장
FA-025,리뷰 목록 조회,리뷰 및 연관 상품 목록 조회,UC-A-025,GET,/admin/review/list,"page, size, keyword (Query Param)","Page<ReviewResponse>",1. 관리자 인증 확인 → 2. 상품명 포함 리뷰 목록 조회 → 3. 페이징 결과 반환
FA-026,리뷰 삭제,리뷰 soft delete 처리,UC-A-026,DELETE,/admin/review/{id},reviewId (Path Variable),삭제 완료 응답,1. 관리자 인증 확인 → 2. 리뷰 존재 확인 → 3. deleted_at 기록 → 4. 저장
FA-027,QnA 질문 목록 조회,QnA 질문 목록 조회 (상품명 포함),UC-A-027,GET,/admin/qna/list,"page, size (Query Param)","Page<QnaResponse>",1. 관리자 인증 확인 → 2. depth=0 조건(질문만) 조회 → 3. 상품명 JOIN → 4. 페이징 결과 반환
FA-028,QnA 질문 상세 조회,QnA 질문 내용 및 답변 상세 조회,UC-A-028,GET,/admin/qna/{id},qnaId (Path Variable),QnaDetailResponse (질문·답변 포함),1. 관리자 인증 확인 → 2. qnaId로 질문 조회 → 3. parent_id 기준 답변 JOIN → 4. QnaDetailResponse 반환
FA-029,QnA 답변 등록,QnA 질문에 대한 답변 등록,UC-A-029,POST,/admin/qna/{id}/insert,"parentId (Path), { content } (Body)",등록 완료 응답 (qnaId 포함),1. 관리자 인증 확인 → 2. 질문 존재 및 WAITING/PROCESSING 상태 확인 → 3. depth=1 답변 저장 → 4. qna_status = COMPLETE 처리 → 5. 응답 반환
FA-030,QnA 답변 수정,등록한 답변 내용 수정,UC-A-030,PATCH,/admin/qna/{id},"qnaId (Path), { content } (Body)",수정 완료 응답,1. 관리자 인증 확인 → 2. 답변 존재 확인(depth=1) → 3. content 업데이트 → 4. updated_at 갱신 → 5. 저장
FA-031,QnA 답변 삭제,답변 soft delete 처리,UC-A-031,DELETE,/admin/qna/{id},qnaId (Path Variable),삭제 완료 응답,1. 관리자 인증 확인 → 2. 답변 존재 확인(depth=1) → 3. deleted_at 기록 → 4. 부모 질문 qna_status 재조정 → 5. 저장
FM-001,회원가입,"이메일·비밀번호·이름·전화번호·주소 입력 후 회원 등록",UC-M-001,POST,/signup,"{ email, password, name, phone, address } (Body)",회원가입 완료 응답,1. 이메일 중복 확인 → 2. 입력값 유효성 검사 → 3. BCrypt 비밀번호 암호화 → 4. member 테이블 저장 → 5. 완료 응답 반환
FM-002,로그인,이메일+비밀번호 로그인 및 JWT Access/Refresh Token 발급,UC-M-002,POST,/signin,"{ email, password } (Body)","{ accessToken, refreshToken }",1. 이메일로 회원 조회 → 2. BCrypt 비밀번호 검증 → 3. memberStatus = ACTIVATE 확인 → 4. AccessToken·RefreshToken 발급 → 5. 토큰 응답 반환
FM-003,로그아웃,JWT 토큰 무효화 및 클라이언트 토큰 삭제,UC-M-003,POST,/signout,Authorization 헤더 (AccessToken),로그아웃 완료 응답,1. AccessToken 파싱 → 2. RefreshToken 무효화 처리 → 3. 클라이언트 토큰 삭제 안내 → 4. 완료 응답 반환
FM-004,마이페이지 주문 현황 조회,주문한 상품의 단계별 현황(6단계) 카운트 요약 조회,UC-M-004,GET,/mypage,Authorization 헤더,마이페이지 주문 현황 요약 DTO,1. 회원 인증 확인 → 2. 회원의 주문 상태별 COUNT 집계 → 3. 최신 주문/리뷰/QnA 목록 함께 조회 → 4. MyPageResponse 반환
FM-005,마이페이지 주문/배송 조회,마이페이지에서 주문·배송 상태 목록 요약 조회,UC-M-005,GET,/mypage,"Authorization 헤더, page, size","Page<OrderSummaryResponse>",1. 회원 인증 확인 → 2. memberId 기준 주문 최신순 조회 → 3. 배송 상태 JOIN → 4. 최신 5~10건 반환
FM-006,마이페이지 리뷰 조회,마이페이지에서 작성한 리뷰 목록 요약 조회,UC-M-006,GET,/mypage,"Authorization 헤더, page, size","Page<ReviewSummaryResponse>",1. 회원 인증 확인 → 2. memberId 기준 리뷰 최신순 조회 → 3. 최신 5~10건 반환
FM-007,마이페이지 QnA 조회,마이페이지에서 작성한 QnA 목록 및 답변 여부 확인,UC-M-007,GET,/mypage,"Authorization 헤더, page, size","Page<QnaSummaryResponse>",1. 회원 인증 확인 → 2. memberId 기준 QnA 최신순 조회(depth=0) → 3. 답변 여부 포함 반환
FM-008,회원 정보 수정,이름·전화번호·주소 수정,UC-M-008,PATCH,/mypage/edit,"Authorization 헤더, { name, phone, address } (Body)",수정 완료 응답,1. 회원 인증 확인 → 2. ACTIVATE 상태 확인 → 3. 입력값 유효성 검사 → 4. 변경 필드 업데이트 → 5. updated_at 갱신 → 6. 저장
FM-009,비밀번호 변경,현재 비밀번호 확인 후 새 비밀번호로 변경,UC-M-009,PATCH,/mypage/password,"Authorization 헤더, { currentPassword, newPassword } (Body)",변경 완료 응답,1. 회원 인증 확인 → 2. 현재 비밀번호 BCrypt 검증 → 3. 새 비밀번호 유효성 검사 → 4. BCrypt 재암호화 → 5. 저장
FM-010,회원 탈퇴,계정 soft delete 및 즉시 로그아웃 처리,UC-M-010,DELETE,/mypage,"Authorization 헤더, { password } (Body)",탈퇴 완료 응답,1. 회원 인증 확인 → 2. 비밀번호 재확인 → 3. memberStatus = DELETE 처리 → 4. deleted_at 기록 → 5. RefreshToken 무효화 → 6. 로그아웃 처리
FM-011,주문 목록 조회,본인의 전체 주문 목록을 최신순/상태별로 조회,UC-M-011,GET,/mypage/order/list,"Authorization 헤더, page, size, status (Query Param)","Page<OrderResponse>",1. 회원 인증 확인 → 2. memberId 기준 주문 조회 → 3. 상태 필터 적용 → 4. 최신순 정렬 → 5. 페이징 결과 반환
FM-012,주문 상세 조회,주문 상품·결제 금액·배송지 정보 상세 조회,UC-M-012,GET,/mypage/order/{id},orderId (Path Variable),OrderDetailResponse (주문 상품 목록 포함),1. 회원 인증 확인 → 2. orderId로 주문 조회 → 3. 본인 주문 소유 확인 → 4. 주문 상품·결제·배송지 JOIN → 5. OrderDetailResponse 반환
FM-013,주문 취소 요청,결제 전/후 취소 요청,UC-M-013,PATCH,/mypage/order/{id}/cancel,orderId (Path Variable),취소 완료 응답,1. 회원 인증 확인 → 2. 본인 주문 소유 확인 → 3. PENDING 상태 확인 → 4. orderStatus = CANCELED 처리 → 5. 결제 상태 연동 → 6. 저장
FM-014,배송 상태 조회,주문별 현재 배송 상태 단계 확인,UC-M-014,GET,/mypage/order/{id},orderId (Path Variable),DeliveryStatusResponse (READY~DELIVERED 단계),1. 회원 인증 확인 → 2. 본인 주문 소유 확인 → 3. 배송 상태 조회 → 4. 단계별 DeliveryStatusResponse 반환
FM-015,운송장 번호 조회,택배사명 및 운송장 번호 확인,UC-M-015,GET,/mypage/order/{id},"orderId (Path), 배송 상태 SHIPPED 이상",DeliveryTrackingResponse (택배사·운송장 번호),1. 회원 인증 확인 → 2. 본인 주문 소유 확인 → 3. delivery_status SHIPPED 이상 확인 → 4. courier·tracking_number 반환
FM-016,작성 리뷰 목록 조회,본인이 작성한 리뷰 전체 목록 최신순 조회,UC-M-016,GET,/mypage/review/list,"Authorization 헤더, page, size","Page<ReviewResponse>",1. 회원 인증 확인 → 2. memberId 기준 리뷰 최신순 조회 → 3. 페이징 결과 반환
FM-017,작성 리뷰 상세 조회,리뷰 내용·평점·이미지 상세 확인,UC-M-017,GET,/mypage/review/{id},reviewId (Path Variable),ReviewDetailResponse (작성 상품 링크 포함),1. 회원 인증 확인 → 2. reviewId로 리뷰 조회 → 3. 본인 리뷰 소유 확인 → 4. ReviewDetailResponse 반환
FM-018,리뷰 수정,작성한 리뷰 내용 및 평점 수정,UC-M-018,PATCH,/mypage/review/{id},"reviewId (Path), { content, rating, images } (Body)",수정 완료 응답,1. 회원 인증 확인 → 2. 본인 리뷰 소유 확인 → 3. 입력값 유효성 검사(rating 1~5) → 4. 내용·평점 업데이트 → 5. updated_at 갱신 → 6. 저장
FM-019,리뷰 삭제,작성한 리뷰 soft delete 처리,UC-M-019,DELETE,/mypage/review/{id},reviewId (Path Variable),삭제 완료 응답,1. 회원 인증 확인 → 2. 본인 리뷰 소유 확인 → 3. deleted_at 기록 → 4. is_reviewed 연동 처리 → 5. 저장
FM-020,작성한 질문 목록 조회,본인이 작성한 QnA 질문 전체 목록 최신순 조회,UC-M-020,GET,/mypage/qna/list,"Authorization 헤더, page, size","Page<QnaResponse>",1. 회원 인증 확인 → 2. memberId 기준 QnA 조회(depth=0) → 3. 최신순 정렬 → 4. 페이징 결과 반환
FM-021,작성한 질문 상세 조회,질문 내용 및 답변 상태·내용 상세 확인,UC-M-021,GET,/mypage/qna/{id},qnaId (Path Variable),QnaDetailResponse (답변 포함),1. 회원 인증 확인 → 2. qnaId로 질문 조회 → 3. 본인 질문 소유 확인 → 4. 답변(depth=1) JOIN → 5. QnaDetailResponse 반환
FM-022,질문 수정,작성한 질문 내용 수정 (답변 전만 가능),UC-M-022,PATCH,/mypage/qna/{id},"qnaId (Path), { content } (Body)",수정 완료 응답,1. 회원 인증 확인 → 2. 본인 질문 소유 확인 → 3. qna_status = WAITING 상태 확인 → 4. content 업데이트 → 5. updated_at 갱신 → 6. 저장
FM-023,질문 삭제,작성한 질문 soft delete 처리,UC-M-023,DELETE,/mypage/qna/{id},qnaId (Path Variable),삭제 완료 응답,1. 회원 인증 확인 → 2. 본인 질문 소유 확인 → 3. deleted_at 기록 → 4. 답변(depth=1) 연쇄 soft delete → 5. 저장
